Data from WELLPATH_ORIGINAL_SURVEY_POINTS_1.ASC has been resampled to 0.2 meters and linearly interpolated between original survey points. Computed 27-JUL-2020.

HEADER INFORMATION (all units in Equinor default) 
----------------------------------------------------------------
COMPANY: Equinor Norway
FIELD:  EXPLORATION - UTM Zone 31
WELL NAME: 31/5-7
WELLBORE NAME: 31/5-7
Drilled From: Surface
Kick Off Depth: 0.00m
Survey Name: 31/5-7
Survey Date: 03.12.2019
Extraction Date: 30.06.2020
----------------------------------------------------------------
Calculation Method: Minimum Curvature
Datum Name: RKB(31.00m)
----------------------------------------------------------------
Surface EW: 524299.530m
Surface NS: 6715849.250m
Surface Latitude: 60° 34' 35.1281 N
Surface Longitude: 3° 26' 36.1158 E
Bottom Hole MD: 2915.00m
Bottom Hole TVD: 2914.89m
Bottom Hole EW: 524308.770m
Bottom Hole NS: 6715845.734m
----------------------------------------------------------------
Survey Program:  
H  338 - 397 36" SCHLUMBERGER MWD+IFR : INCLINATION ONLY
H  479 - 895 26" SUCHLUMBERGER MWD+IFR+AX : MAGNETIC, IFR, MAG-CORR
H  977 - 1872 17 1/2" SCHLUMBERGER MWD+IFR : MAGNETIC, IFR, NON-MAG
H  1956 - 2562 12 1/4"  SCHLUMBERGER MWD+IFR : MAGNETIC, IFR, NON-MAG
H  2622 - 2899 8 1/2" SCHLUMBERGER MWD+IFR : MAGNETIC, IFR, NON-MAG
----------------------------------------------------------------
Water Depth: 307.00m
KB-WH: 31.00m
KB-MSL: 31.00m
System Datum: Mean Sea Level
----------------------------------------------------------------
Map-Zone: Zone 31N (0 E to 6 E)
North Reference: Grid
Geo Datum: European 1950 - Mean
Vertical Section Direction: 0.00deg
----------------------------------------------------------------
SURVEY LIST
                MD               Inc              Azim               TVD    X-Offset (E/W)    Y-Offset (N/S)           UTM E/W           UTM N/S               DLS
             m RKB               deg               deg             m RKB                 m                 m                 m                 m           deg/30m
              0.00              0.00              0.00              0.00             0.000             0.000        524299.530       6715849.250              0.00
              0.20              0.00              0.00              0.20             0.000             0.000        524299.530       6715849.250              0.00
              0.40              0.00              0.00              0.40             0.000             0.000        524299.530       6715849.250              0.00
              0.60              0.00              0.00              0.60             0.000             0.000        524299.530       6715849.250              0.00
              0.80              0.00              0.00              0.80             0.000             0.000        524299.530       6715849.250              0.00
              1.00              0.00              0.00              1.00             0.000             0.000        524299.530       6715849.250              0.00
              1.20              0.00              0.00              1.20             0.000             0.000        524299.530       6715849.250              0.00
              1.40              0.00              0.00              1.40             0.000             0.000        524299.530       6715849.250              0.00
              1.60              0.00              0.00              1.60             0.000             0.000        524299.530       6715849.250              0.00
              1.80              0.00              0.00              1.80             0.000             0.000        524299.530       6715849.250              0.00
              2.00              0.00              0.00              2.00             0.000             0.000        524299.530       6715849.250              0.00
              2.20              0.00              0.00              2.20             0.000             0.000        524299.530       6715849.250              0.00
              2.40              0.00              0.00              2.40             0.000             0.000        524299.530       6715849.250              0.00
              2.60              0.00              0.00              2.60             0.000             0.000        524299.530       6715849.250              0.00
              2.80              0.00              0.00              2.80             0.000             0.000        524299.530       6715849.250              0.00
              3.00              0.00              0.00              3.00             0.000             0.000        524299.530       6715849.250              0.00
              3.20              0.00              0.00              3.20             0.000             0.000        524299.530       6715849.250              0.00
              3.40              0.00              0.00              3.40             0.000             0.000        524299.530       6715849.250              0.00
              3.60              0.00              0.00              3.60             0.000             0.000        524299.530       6715849.250              0.00
              3.80              0.00              0.00              3.80             0.000             0.000        524299.530       6715849.250              0.00
              4.00              0.00              0.00              4.00             0.000             0.000        524299.530       6715849.250              0.00
              4.20              0.00              0.00              4.20             0.000             0.000        524299.530       6715849.250              0.00
              4.40              0.00              0.00              4.40             0.000             0.000        524299.530       6715849.250              0.00
              4.60              0.00              0.00              4.60             0.000             0.000        524299.530       6715849.250              0.00
              4.80              0.00              0.00              4.80             0.000             0.000        524299.530       6715849.250              0.00
              5.00              0.00              0.00              5.00             0.000             0.000        524299.530       6715849.250              0.00
              5.20              0.00              0.00              5.20             0.000             0.000        524299.530       6715849.250              0.00
              5.40              0.00              0.00              5.40             0.000             0.000        524299.530       6715849.250              0.00
