~VERSION INFORMATION 
 VERS. 2.0: CWLS LOG ASCII STANDARD -VERSION 2.0 
 WRAP.  No: SINGLE LINE PER DEPTH STEP
~WELL INFORMATION BLOCK 
#MNEM.UNIT			     DATA			   DESCRIPTION OF MNEMONIC
#----------------------------------------------------------------------
 STRT.m                 445.00                         : Start Depth
 STOP.m                 1150.00                        : Stop  Depth
 STEP.m                 0.25                           : Step  Depth
 NULL.                   -999.25                       : Null value
 COMP.                   PEAK                          : Company Name
 WELL.                   BILABRI DX1                   : Well Name
 PATH.                   Original Path                 : Path Name
 FLD.                    BILABRI                       : Field Name
 LOC.                    BULFORD DOLPHIN               : Location
 PROV.                   Unused                        : Province
 SRVC.                   BAKER HUGHES INTEQ            : Service Company Name
 Date.DD/MM/YYYY         25/12/2005                    : Date
 UWI.                                                  : Unique Well ID
 TIMEZONE.Hrs            0                   : Time zone difference from GMT 
~CURVE INFORMATION
#MNEM.UNIT                 CURVE INFORMATION
#
#----------------------------------------------------------------------#
DEPTH.m                                      :   0 Depth Hole
DRLL_ROP_AVG.m/hr                            :   1 Average ROP
RACLM.Ohm.m                                  :   2 
RPCLM.Ohm.m                                  :   3 
RACHM.Ohm.m                                  :   4 
RPCHM.Ohm.m                                  :   5 
CALFM.in                                     :   6 
NPLFM.pu                                     :   7 
GRAFM.API                                    :   8 
BDCFM.g/cc                                   :   9 
DRHFM.g/cc                                   :   10 
TCDM.degF                                    :   11 
TVD.m                                        :   12 Vertical Depth
#
~Disclaimer
Baker Hughes INTEQ does not guarantee the accuracy  or correctness
of  interpretations  provided  in  or  from this  data. Since  all
interpretations  are  opinions based on measurements, Baker Hughes
INTEQ  shall  under no  circumstances   be  held  responsible  for
consequential damages or any other loss, costs, damages or expenses
incurred  or  sustained  in  connection  with  the use of any such
interpretations. Baker  Hughes INTEQ  disclaims  all expressed and
implied  warranties  related to  its  service which is governed by
Baker Hughes INTEQ's standard terms and conditions.
#
DEPTH             DRLL_ROP_AVG RACLM       RPCLM         RACHM       RPCHM        CALFM        NPLFM        GRAFM        BDCFM        DRHFM         TCDM          TVD          
m                 m/hr         Ohm.m       Ohm.m         Ohm.m       Ohm.m           in           pu          API         g/cc         g/cc         degF            m          

  445.00         22.88         0.08         0.14         0.09         0.16      -844.80       154.41        19.04         1.36        -0.77      -999.25       445.00
  445.25         21.11         0.08         0.15         0.09         0.16      -999.00       100.47        19.70         1.35        -0.97        92.07       445.25
  445.50         24.63         0.08         0.15         0.08         0.42      -952.42       122.43        21.55         1.31        -1.09        92.11       445.50
  445.75         28.71         0.08         0.15         0.08         0.57      -583.92       302.78        21.93         1.28        -1.13        92.15       445.75
  446.00         32.78         0.08         0.15         0.08         0.53       -57.94      -110.17        21.40         1.35        -1.07        92.19       446.00
  446.25         32.36         0.08         0.14         0.07     84495.11        10.77      -470.75        21.09         1.42        -1.01        92.19       446.25
  446.50         28.78         0.08         0.14         0.07         0.17        15.11        26.82        21.91         1.50        -0.93        92.19       446.50
  446.75         23.75         0.08         0.14         0.06         0.16        15.13        77.08        21.73         1.54        -0.90        92.19       446.75
  447.00         23.66         0.08         0.17         0.14         0.15        15.09       -79.21        21.90         1.52        -0.92        92.19       447.00
  447.25         23.58         0.08         0.17         0.10         0.28        15.00       -83.54        18.92         1.52        -0.91        92.19       447.25
  447.50         42.15         0.08         0.17         0.07         0.15        14.93      -359.69        17.18         1.52        -0.89        92.19       447.50
  447.75         72.44         0.08         0.17         0.05         0.13        14.93      1256.12        17.37         1.47        -0.92        92.19       447.75
  448.00         71.80         0.08         0.17         0.08         0.14        15.00      -216.39        17.14         1.48        -0.86        92.19       448.00
  448.25         60.46         0.07         0.18         0.11         0.14        15.03       -88.29        16.75         1.50        -0.75        92.19       448.25
  448.50         54.88         0.06         0.18         0.11         0.14        15.02       210.76        16.52         1.53        -0.73        92.19       448.50
  448.75         49.30         0.06         0.18         0.11         0.13        15.08        81.97        16.98         1.47        -0.95        92.19       448.75
  449.00         36.76         0.06         0.18         0.10         0.13       -32.90       184.81        17.80         1.59        -0.81        92.19       449.00
  449.25         21.67         0.06         0.19         0.10         0.14      -162.73       156.40        16.88         1.74        -0.55        92.19       449.25
  449.50         16.82         0.06         0.19         0.11         0.14       -60.59       127.99        17.81         2.03        -0.10        92.19       449.50
  449.75         14.66         0.06         0.19         0.10         0.14        15.09       -49.32        17.62         1.96        -0.00        92.19       449.75
  450.00         12.51         0.03         4.42         0.07         1.55        15.14      -226.64        19.00         1.70         0.03        92.19       450.00
  450.25          9.24         0.07         6.62         0.33         1.05        15.56      -238.27        21.10         1.67         0.04        92.19       450.25
  450.50          7.83         0.10         3.63         0.39         0.83      -127.71      1039.86        23.73         1.63         0.03        92.19       450.50
  450.75          5.73         0.32         1.13         0.51         0.76      -232.47      -333.09        25.06         1.52         0.02        92.19       450.75
  451.00          0.21         0.26         1.44         0.51         0.84      -183.47     -7874.87        24.51         1.35         0.02        92.19       451.00
  451.25          0.47         0.61         0.59         0.55         1.25       -61.37       318.30        24.70         1.31         0.02        92.19       451.25
  451.50          0.73         0.51         0.49         0.38         2.19      -433.51       188.20        27.01         1.18        -0.01        92.19       451.50
  451.75          1.14         0.03         2.72         0.07         2.89      -823.37       150.63        29.79         1.10        -0.04        92.19       451.75
  452.00          2.22         0.03         3.44         0.12      2718.14      -999.00      2067.74        26.22         1.07        -0.05        92.19       452.00
  452.25          2.63         0.36         0.75         0.54         0.81      -999.00      -216.03        23.82         1.08        -0.05        92.19       452.25
  452.50          3.33         0.40         0.20         0.22         0.19      -999.00      -106.95        23.63         1.07        -0.05        92.19       452.50
  452.75          4.02         0.36         0.19         0.21         0.23      -999.00     -1059.18        27.23         1.06        -0.05        92.19       452.75
  453.00          4.84         0.37         0.17         0.21         0.16      -999.00      -420.93        29.70         1.06        -0.05        92.19       453.00
