********************************************************************************

Well:		BILABRI D2
Path:		Original Path
Hole:		Original Path Hole
Start:		1640.00(m)
End:			2913.00(m)
Date/Time:	Thursday, August 24, 2006 /15:59:50
********************************************************************************


DEPTH                   ROP_AVG                 GR1AX                   RACLX                   RPCHX                   NPLX                    BDCX                    DRHX                    TCDX                    TVD          
m                       m/hr                    API                     ohm.m                   ohm.m                   pu                      g/cc                    g/cc                    degF                    m          

1640.00                 -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 1639.90                 
1640.25                 14.68                   -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 1640.15                 
1640.50                 6.39                    -999.25                 0.258                   3.983                   -999.25                 2.31                    0.09                    126.3                   1640.40                 
1640.75                 5.22                    380.8                   0.480                   2.340                   -999.25                 2.30                    0.09                    190.3                   1640.65                 
1641.00                 4.76                    234.9                   0.703                   0.697                   47.45                   2.30                    0.08                    254.3                   1640.90                 
1641.25                 5.50                    89.1                    0.696                   0.729                   57.27                   2.30                    0.08                    318.4                   1641.15                 
1641.50                 5.72                    83.4                    0.688                   0.762                   55.79                   2.30                    0.08                    382.4                   1641.40                 
1641.75                 5.94                    83.9                    0.633                   0.780                   53.01                   2.30                    0.08                    254.3                   1641.65                 
1642.00                 8.63                    84.4                    0.616                   0.746                   52.06                   2.30                    0.07                    126.3                   1641.90                 
1642.25                 9.82                    84.9                    0.600                   0.713                   51.11                   2.30                    0.07                    126.3                   1642.15                 
1642.50                 13.22                   83.0                    0.587                   0.689                   50.16                   2.30                    0.06                    126.3                   1642.40                 
1642.75                 13.74                   81.1                    0.574                   0.666                   49.21                   2.30                    0.06                    126.3                   1642.65                 
1643.00                 15.43                   83.6                    0.546                   0.530                   51.45                   2.30                    0.01                    126.3                   1642.90                 
1643.25                 17.12                   86.2                    0.519                   0.394                   53.69                   2.30                    -0.04                   126.3                   1643.15                 
1643.50                 19.43                   88.7                    0.491                   0.258                   52.91                   2.31                    0.02                    126.3                   1643.40                 
1643.75                 32.53                   91.3                    0.492                   0.597                   52.14                   2.33                    0.07                    126.3                   1643.65                 
1644.00                 46.76                   93.8                    0.493                   0.937                   51.36                   2.32                    0.07                    126.3                   1643.90                 
1644.25                 41.59                   92.6                    0.505                   0.854                   50.59                   2.31                    0.07                    126.3                   1644.15                 
1644.50                 36.41                   91.5                    0.517                   0.771                   49.82                   2.30                    0.07                    126.3                   1644.40                 
1644.75                 32.67                   90.2                    0.516                   0.742                   59.79                   2.29                    0.07                    126.3                   1644.65                 
1645.00                 30.16                   88.9                    0.515                   0.713                   69.76                   2.29                    0.07                    126.3                   1644.90                 
1645.25                 27.89                   87.7                    0.541                   0.732                   59.79                   2.29                    0.07                    126.3                   1645.15                 
1645.50                 27.48                   91.0                    0.567                   0.751                   49.82                   2.29                    0.07                    126.3                   1645.40                 
1645.75                 27.18                   91.8                    0.593                   0.771                   46.49                   2.29                    0.07                    126.3                   1645.65                 
1646.00                 26.87                   92.6                    0.659                   0.754                   43.16                   2.29                    0.07                    126.3                   1645.90                 
1646.25                 26.40                   93.5                    0.684                   0.767                   59.61                   2.29                    0.07                    126.3                   1646.15                 
1646.50                 25.86                   94.3                    0.710                   0.780                   49.82                   2.29                    0.06                    126.3                   1646.40                 
1646.75                 25.71                   92.9                    0.717                   0.784                   53.92                   2.30                    0.06                    126.3                   1646.65                 
1647.00                 25.59                   91.5                    0.725                   0.789                   58.02                   2.30                    0.07                    126.3                   1646.90                 
1647.25                 25.48                   92.9                    0.755                   0.790                   62.12                   2.31                    0.09                    126.3                   1647.15                 
1647.50                 25.42                   94.3                    0.784                   0.791                   71.94                   2.32                    0.09                    126.3                   1647.40                 
1647.75                 25.35                   77.3                    0.813                   0.792                   66.11                   2.33                    0.09                    126.3                   1647.65                 
1648.00                 25.09                   86.3                    0.843                   0.793                   60.28                   2.31                    0.08                    126.3                   1647.90                 
1648.25                 24.56                   86.1                    0.872                   0.794                   54.44                   2.29                    0.07                    126.3                   1648.14                 
1648.50                 24.56                   86.0                    0.902                   0.796                   48.61                   2.30                    0.07                    126.3                   1648.39                 
1648.75                 24.55                   85.8                    0.931                   0.797                   44.67                   2.32                    0.07                    126.3                   1648.64                 
1649.00                 25.66                   85.6                    0.961                   0.798                   40.72                   2.32                    0.08                    126.3                   1648.89                 
1649.25                 12.03                   85.5                    0.760                   0.745                   47.20                   2.33                    0.09                    126.3                   1649.14                 
1649.50                 12.29                   85.3                    0.849                   0.767                   53.69                   2.31                    0.08                    126.3                   1649.39                 
