********************************************************************************

Well:		BILABRI D2
Path:		Original Path
Hole:		
Start:		418.75(m)
End:			1640.25(m)
Date/Time:	Saturday, August 05, 2006 /08:22:37
********************************************************************************


DEPTH                   TCDX                    ROP_AVG                 GR1AX                   RACLX                   RPCHX                   
m                       degF                    m/hr                    API                     ohm.m                   ohm.m                   

418.75                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
419.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
419.25                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
419.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
419.75                  -999.25                 -999.25                 -999.25                 0.103                   84495.109               
420.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
420.25                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
420.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
420.75                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
421.00                  -999.25                 -999.25                 31.1                    -999.25                 -999.25                 
421.25                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
421.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
421.75                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
422.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
422.25                  -999.25                 -999.25                 -999.25                 0.103                   84495.109               
422.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
422.75                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
423.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
423.25                  -999.25                 -999.25                 27.7                    -999.25                 -999.25                 
423.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
423.75                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
424.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
424.25                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
424.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
424.75                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
425.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
425.25                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
425.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
425.75                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
426.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
426.25                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
426.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
426.75                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
427.00                  -999.25                 -999.25                 -999.25                 0.103                   84495.109               
427.25                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
427.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
427.75                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
428.00                  -999.25                 -999.25                 26.0                    -999.25                 -999.25                 
428.25                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
428.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
