!Well:					BILABRI D2
!Path:					Original Path
!Reference North is:			TRUE
!Magnetic Declination is:		-3.48
!True to Grid Convergence:		0.00
!Tie In Point data:		
!MD  0.00  INC  0.00  Azicorr  0.00  TVD  0.00  N/S  0.00  E/W  0.00  
!
!Measured Depth   Inclination      Azimuth          Planar VS        Course Length    Incr VS          Dogleg           Position North   Vertical Depth   Position East    
!----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
462.00            0.44             43.70            0.19             462.00           1.78             0.03             1.28             462.00           1.23             
492.00            0.23             352.35           0.25             30.00            1.94             0.35             1.43             491.99           1.30             
520.00            0.25             55.37            0.29             28.00            2.04             0.27             1.52             519.99           1.34             
548.00            0.60             4.78             0.39             28.00            2.23             0.52             1.70             547.99           1.40             
577.00            0.53             39.67            0.52             29.00            2.50             0.36             1.95             576.99           1.50             
605.00            0.15             24.71            0.56             28.00            2.66             0.41             2.09             604.99           1.60             
634.00            0.20             335.94           0.63             29.00            2.75             0.16             2.17             633.99           1.59             
663.00            0.31             346.37           0.75             29.00            2.87             0.12             2.29             662.99           1.55             
691.00            0.61             21.80            0.88             28.00            3.09             0.43             2.50             690.99           1.59             
720.00            0.45             24.36            1.00             29.00            3.35             0.16             2.75             719.99           1.69             
748.00            0.40             346.33           1.14             28.00            3.55             0.30             2.94             747.99           1.72             
777.00            0.17             99.41            1.20             29.00            3.64             0.51             3.03             776.99           1.73             
805.00            0.16             30.45            1.18             28.00            3.71             0.20             3.06             804.99           1.80             
836.00            0.27             43.62            1.20             31.00            3.83             0.12             3.15             835.99           1.87             
865.00            0.20             353.42           1.25             29.00            3.93             0.22             3.25             864.99           1.91             
893.00            0.30             54.57            1.28             28.00            4.04             0.29             3.34             892.99           1.96             
922.00            0.18             19.52            1.30             29.00            4.15             0.19             3.42             921.99           2.04             
950.00            0.55             32.28            1.36             28.00            4.33             0.41             3.58             949.99           2.13             
979.00            0.48             359.38           1.50             29.00            4.58             0.31             3.82             978.99           2.20             
1007.00           0.69             352.45           1.73             28.00            4.86             0.23             4.10             1006.98          2.17             
1036.00           1.01             8.94             2.04             29.00            5.29             0.41             4.52             1035.98          2.19             
1064.00           0.95             338.12           2.42             28.00            5.75             0.56             4.98             1063.98          2.14             
1093.00           0.96             336.00           2.88             29.00            6.23             0.04             5.43             1092.97          1.95             
1122.00           0.85             338.38           3.32             29.00            6.69             0.11             5.85             1121.97          1.78             
1150.00           1.25             343.71           3.80             28.00            7.20             0.44             6.34             1149.97          1.61             
1179.00           1.18             336.86           4.38             29.00            7.82             0.17             6.92             1178.96          1.41             
