********************************************************************************

Well:		BILABRI D2
Path:		Original Path
Hole:		
Start:		418.90(m)
End:			1624.00(m)
Date/Time:	Saturday, August 05, 2006 /05:57:27
********************************************************************************


DEPTH                   TCDX                    ROP_AVG                 GR1AX                   RACLX                   RPCHX                   
m                       degF                    m/hr                    API                     ohm.m                   ohm.m                   

418.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
419.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
419.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
419.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
419.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
419.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
419.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
419.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
419.70                  -999.25                 -999.25                 -999.25                 0.103                   84495.109               
419.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
419.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
420.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
420.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
420.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
420.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
420.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
420.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
420.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
420.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
420.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
420.90                  -999.25                 -999.25                 31.1                    -999.25                 -999.25                 
421.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
421.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
421.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
421.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
421.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
421.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
421.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
421.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
421.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
421.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
422.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
422.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
422.20                  -999.25                 -999.25                 -999.25                 0.103                   84495.109               
422.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
422.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
422.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
422.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
422.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
422.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
