							
MD	Incl	Azi	VS	DLS	NS	TVD	EW
277.00	0.08	328.54	0.02	0.07	0.02	277.00	-0.01
305.00	0.14	325.62	0.07	0.07	0.07	305.00	-0.04
343.00	0.21	92.69	0.10	0.25	0.10	343.00	0.00
372.00	0.08	79.72	0.10	0.14	0.10	372.00	0.07
400.00	0.07	351.04	0.12	0.11	0.12	400.00	0.09
428.00	0.13	331.75	0.17	0.08	0.17	428.00	0.07
457.00	0.20	315.60	0.23	0.09	0.23	457.00	0.02
485.00	0.12	319.80	0.29	0.09	0.29	485.00	-0.03
514.00	0.22	348.02	0.36	0.13	0.36	514.00	-0.06
543.00	0.23	157.81	0.36	0.46	0.36	543.00	-0.05
571.00	0.31	155.27	0.24	0.08	0.24	571.00	0.00
600.00	0.24	173.21	0.11	0.11	0.11	600.00	0.04
629.00	0.35	189.10	-0.03	0.14	-0.03	629.00	0.03
657.00	0.53	171.68	-0.25	0.24	-0.25	657.00	0.04
685.00	0.66	172.19	-0.53	0.14	-0.53	685.00	0.08
714.00	0.52	162.04	-0.82	0.18	-0.82	713.99	0.14
800.00	0.34	154.28	-1.42	0.06	-1.42	799.99	0.37
