********************************************************************************

Well:		Bilabri D3
Path:		Original Path
Hole:		Original Path Hole
Start:		262.00(m)
End:			841.00(m)
Date/Time:	Wednesday, October 11, 2006 /19:13:48
********************************************************************************


DEPTH                   TVD                     ROP_AVG                 GR1AX                   RACLX                   RPCHX                   TCDX                    
m                       m                       m/hr                    API                     ohm.m                   ohm.m                   degF                    

262.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
262.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
262.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
262.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
262.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
262.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
262.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
262.70                  262.74                  0.00                    -999.25                 -999.25                 -999.25                 -999.25                 
262.80                  262.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
262.90                  262.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
263.00                  263.04                  0.53                    -999.25                 -999.25                 -999.25                 -999.25                 
263.10                  263.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
263.20                  263.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
263.30                  263.35                  5.19                    -999.25                 -999.25                 -999.25                 -999.25                 
263.40                  263.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
263.50                  263.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
263.60                  263.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
263.70                  263.65                  9.88                    -999.25                 -999.25                 -999.25                 -999.25                 
263.80                  263.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
263.90                  263.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
264.00                  263.96                  13.70                   -999.25                 -999.25                 -999.25                 -999.25                 
264.10                  264.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
264.20                  264.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
264.30                  264.26                  14.10                   -999.25                 -999.25                 -999.25                 -999.25                 
264.40                  264.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
264.50                  264.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
264.60                  264.57                  13.05                   -999.25                 -999.25                 -999.25                 -999.25                 
264.70                  264.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
264.80                  264.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
264.90                  264.87                  13.70                   -999.25                 -999.25                 -999.25                 -999.25                 
265.00                  265.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
265.10                  265.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
265.20                  265.18                  14.52                   -999.25                 -999.25                 -999.25                 -999.25                 
265.30                  265.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
265.40                  265.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
265.50                  265.48                  13.76                   -999.25                 -999.25                 -999.25                 -999.25                 
265.60                  265.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
265.70                  265.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
265.80                  265.79                  12.38                   -999.25                 -999.25                 -999.25                 -999.25                 
265.90                  265.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
266.00                  266.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
266.10                  266.09                  12.51                   -999.25                 -999.25                 -999.25                 -999.25                 
266.20                  266.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
266.30                  266.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
266.40                  266.40                  13.40                   -999.25                 -999.25                 -999.25                 -999.25                 
266.50                  266.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
266.60                  266.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
266.70                  266.70                  11.61                   -999.25                 -999.25                 -999.25                 -999.25                 
266.80                  266.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
266.90                  266.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
267.00                  267.00                  13.09                   -999.25                 -999.25                 -999.25                 -999.25                 
267.10                  267.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
267.20                  267.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
267.30                  267.31                  13.45                   -999.25                 -999.25                 -999.25                 -999.25                 
267.40                  267.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
267.50                  267.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
267.60                  267.61                  14.12                   -999.25                 -999.25                 -999.25                 -999.25                 
267.70                  267.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
267.80                  267.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
267.90                  267.92                  12.72                   -999.25                 -999.25                 -999.25                 -999.25                 
268.00                  268.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
268.10                  268.10                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
268.20                  268.22                  12.88                   -999.25                 -999.25                 -999.25                 -999.25                 
268.30                  268.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
268.40                  268.40                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
268.50                  268.53                  15.28                   -999.25                 -999.25                 -999.25                 -999.25                 
268.60                  268.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
268.70                  268.70                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
268.80                  268.83                  13.50                   -999.25                 -999.25                 -999.25                 -999.25                 
268.90                  268.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
269.00                  269.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
269.10                  269.14                  15.42                   -999.25                 -999.25                 -999.25                 -999.25                 
269.20                  269.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
269.30                  269.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
269.40                  269.44                  16.65                   -999.25                 -999.25                 -999.25                 -999.25                 
269.50                  269.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
269.60                  269.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
269.70                  269.75                  16.62                   -999.25                 -999.25                 -999.25                 -999.25                 
269.80                  269.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
269.90                  269.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
270.00                  270.00                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
270.10                  270.05                  17.88                   -999.25                 -999.25                 -999.25                 -999.25                 
270.20                  270.20                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
270.30                  270.30                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
270.40                  270.36                  17.03                   -999.25                 -999.25                 -999.25                 -999.25                 
270.50                  270.50                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
270.60                  270.60                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
270.70                  270.66                  16.66                   -999.25                 -999.25                 -999.25                 -999.25                 
270.80                  270.80                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
270.90                  270.90                  -999.25                 -999.25                 -999.25                 -999.25                 -999.25                 
271.00                  270.97                  17.44                   -999.25                 -999.25                 -999.25                 -999.25                 
