
DEPTH                   TVD                     ROP_AVG                 GRAM                    RACLM                   RPCLM                   RACHM                   RPCHM                   TCDM                    
m                       m                       m/hr                    API                     ohm.m                   ohm.m                   ohm.m                   ohm.m                   degF                    

840.00                  840.02                  16.66                   27.6                    0.684                   1.175                   0.894                   2.385                   120.3                   
840.25                  840.32                  17.79                   27.2                    0.686                   1.209                   0.926                   2.524                   144.9                   
840.50                  840.49                  18.65                   29.1                    0.685                   1.254                   0.943                   2.988                   144.9                   
840.75                  840.63                  19.37                   30.9                    0.691                   1.276                   0.956                   2.959                   144.9                   
841.00                  840.93                  20.27                   30.2                    0.695                   1.288                   0.957                   2.946                   144.9                   
841.25                  841.24                  21.55                   32.2                    0.693                   1.335                   0.953                   3.286                   144.9                   
841.50                  841.54                  21.11                   29.8                    0.694                   1.368                   0.964                   3.486                   144.9                   
841.75                  841.85                  20.15                   29.0                    0.692                   1.420                   0.975                   4.032                   144.9                   
842.00                  841.99                  20.02                   27.9                    0.693                   1.464                   0.988                   4.416                   144.9                   
842.25                  842.15                  19.88                   25.7                    0.694                   1.466                   0.995                   4.417                   144.9                   
842.50                  842.46                  19.92                   25.3                    0.691                   1.465                   0.972                   4.385                   145.3                   
842.75                  842.76                  20.10                   26.5                    0.689                   1.406                   0.962                   3.951                   145.5                   
843.00                  843.07                  20.87                   25.8                    0.690                   1.393                   0.929                   4.062                   145.7                   
843.25                  843.24                  20.78                   27.0                    0.685                   1.366                   0.903                   3.676                   146.2                   
843.50                  843.37                  20.71                   26.1                    0.680                   1.369                   0.862                   4.094                   147.4                   
843.75                  843.68                  20.56                   24.9                    0.678                   1.337                   0.823                   3.684                   147.6                   
844.00                  843.98                  21.51                   29.3                    0.681                   1.285                   0.803                   3.440                   147.9                   
844.25                  844.29                  26.47                   32.0                    0.683                   1.278                   0.811                   2.907                   147.8                   
844.50                  844.59                  34.94                   34.7                    0.689                   1.227                   0.837                   2.240                   147.7                   
844.75                  844.74                  40.84                   41.0                    0.678                   1.048                   0.794                   2.047                   147.6                   
845.00                  844.90                  46.99                   42.5                    0.677                   1.068                   0.807                   1.950                   147.7                   
845.25                  845.20                  54.21                   47.3                    0.666                   0.892                   0.626                   1.210                   147.9                   
845.50                  845.51                  54.49                   40.9                    0.659                   0.860                   0.584                   1.088                   148.0                   
845.75                  845.81                  55.24                   41.5                    0.628                   0.733                   0.365                   0.736                   148.1                   
846.00                  846.12                  55.51                   36.6                    0.614                   0.704                   0.325                   0.809                   148.2                   
846.25                  846.24                  55.02                   34.7                    0.608                   0.723                   0.288                   0.902                   148.2                   
846.50                  846.42                  54.31                   34.8                    0.629                   0.769                   0.308                   1.130                   148.3                   
846.75                  846.72                  56.50                   38.1                    0.625                   0.811                   0.358                   1.188                   148.3                   
847.00                  847.03                  52.86                   44.2                    0.637                   0.861                   0.554                   1.108                   148.3                   
847.25                  847.33                  49.82                   47.2                    0.628                   0.850                   0.479                   0.988                   148.3                   
847.50                  847.49                  48.78                   46.4                    0.592                   0.725                   0.241                   0.703                   148.3                   
847.75                  847.64                  47.79                   39.2                    0.598                   0.763                   0.215                   0.748                   148.3                   
848.00                  847.94                  44.31                   33.2                    0.591                   0.732                   0.222                   0.734                   148.3                   
848.25                  848.25                  44.92                   22.1                    0.588                   0.716                   0.225                   0.769                   148.3                   
