DEPTH	ROP_A	VG                 GRAM	RACLM	RPCLM	RACHM	RPCHM
m	m/hr	API	ohm.m	ohm.m	ohm.m	ohm.m
840	16.66	27.6	0.684	1.175	0.894	2.385
840.25	17.79	27.2	0.686	1.209	0.926	2.524
840.5	18.65	29.1	0.685	1.254	0.943	2.988
840.75	19.37	30.9	0.691	1.276	0.956	2.959
841	20.27	30.2	0.695	1.288	0.957	2.946
841.25	21.55	32.2	0.693	1.335	0.953	3.286
841.5	21.11	29.8	0.694	1.368	0.964	3.486
841.75	20.15	29	0.692	1.42	0.975	4.032
842	20.02	27.9	0.693	1.464	0.988	4.416
842.25	19.88	25.7	0.694	1.466	0.995	4.417
842.5	19.92	25.3	0.691	1.465	0.972	4.385
842.75	20.1	26.5	0.689	1.406	0.962	3.951
843	20.87	25.8	0.69	1.393	0.929	4.062
843.25	20.78	27	0.685	1.366	0.903	3.676
843.5	20.71	26.1	0.68	1.369	0.862	4.094
843.75	20.56	24.9	0.678	1.337	0.823	3.684
844	21.51	29.3	0.681	1.285	0.803	3.44
844.25	26.47	32	0.683	1.278	0.811	2.907
844.5	34.94	34.7	0.689	1.227	0.837	2.24
844.75	40.84	41	0.678	1.048	0.794	2.047
845	46.99	42.5	0.677	1.068	0.807	1.95
845.25	54.21	47.3	0.666	0.892	0.626	1.21
845.5	54.49	40.9	0.659	0.86	0.584	1.088
845.75	55.24	41.5	0.628	0.733	0.365	0.736
846	55.51	36.6	0.614	0.704	0.325	0.809
846.25	55.02	34.7	0.608	0.723	0.288	0.902
846.5	54.31	34.8	0.629	0.769	0.308	1.13
846.75	56.5	38.1	0.625	0.811	0.358	1.188
847	52.86	44.2	0.637	0.861	0.554	1.108
847.25	49.82	47.2	0.628	0.85	0.479	0.988
847.5	48.78	46.4	0.592	0.725	0.241	0.703
847.75	47.79	39.2	0.598	0.763	0.215	0.748
848	44.31	33.2	0.591	0.732	0.222	0.734
848.25	44.92	22.1	0.588	0.716	0.225	0.769
848.5	45.96	21.4	0.588	0.719	0.199	0.723
848.75	44.25	22.5	0.589	0.699	0.197	0.619
849	39.96	21.6	0.596	0.683	0.252	0.51
849.25	34.34	24.2	0.604	0.678	0.25	0.495
849.5	35.71	23.7	0.61	0.675	0.272	0.509
849.75	36.2	23.4	0.615	0.673	0.271	0.529
850	39.21	23.6	0.625	0.676	0.268	0.487
850.25	40.29	24.4	0.628	0.679	0.259	0.477
850.5	41.23	27.5	0.642	0.694	0.25	0.46
850.75	40.42	31.3	0.66	0.72	0.272	0.439
851	41.87	37.8	0.675	0.741	0.264	0.427
851.25	40.53	32	0.686	0.763	0.295	0.458
851.5	41.06	31.8	0.702	0.783	0.326	0.492
851.75	39.06	32.9	0.722	0.814	0.409	0.633
852	36.66	33.2	0.763	0.871	0.432	0.758
852.25	35.99	32.4	0.797	0.91	0.462	0.837
852.5	41.47	32.7	0.804	0.896	0.471	0.797
852.75	41.86	31.6	0.824	0.866	0.604	0.804
853	43.24	33.9	0.819	0.85	0.581	0.742
853.25	44.33	32.4	0.817	0.853	0.591	0.726
853.5	47.41	32.3	0.825	0.858	0.681	0.78
853.75	35.14	32.5	0.811	0.817	0.692	0.734
854	23.8	30.4	0.798	0.812	0.648	0.719
854.25	12.45	32.3	0.789	0.818	0.63	0.69
854.5	11.71	33.6	0.779	0.814	0.618	0.671
854.75	10.9	36	0.767	0.78	0.628	0.657
855	10.52	36.3	0.758	0.758	0.591	0.603
855.25	10.17	32.9	0.785	0.759	0.614	0.622
855.5	9.49	33.2	0.864	0.823	0.71	0.708
855.75	9.06	32.2	0.991	0.982	0.882	0.833
856	8.75	34.6	1.127	1.132	1.227	1.068
856.25	8.59	66.6	1.203	1.228	1.29	1.192
856.5	8.55	97.4	1.253	1.268	1.322	1.224
856.75	8.94	100	8                   1.257	1.268	1.312	1.227
857	9.39	101	2                   1.220	1.227	1.267	1.197
857.25	9.66	97.6	1.151	1.124	1.154	1.107
857.5	9.93	93.7	1.089	0.96	1.02	0.892
857.75	11.1	85	1.054	0.904	0.959	0.822
858	12.38	67	1.048	0.952	1.002	0.902
858.25	11.92	68.5	1.067	1.006	1.054	0.969
858.5	11.98	74	1.089	1.05	1.095	1.028
858.75	11.78	80.8	1.11	1.053	1.105	1.023
859	11.5	80.6	1.136	1.024	1.082	0.952
859.25	11.12	74.6	1.175	1.065	1.115	0.969
859.5	11.29	68	1.214	1.165	1.215	1.119
859.75	11.53	78	1.243	1.215	1.271	1.181
860	11.52	85.4	1.256	1.207	1.279	1.134
860.25	11.51	96.3	1.244	1.213	1.271	1.154
860.5	11.44	101	7                   1.210	1.194	1.253	1.142
860.75	11.39	104	6                   1.149	1.14	1.186	1.112
861	11.47	104	1                   1.080	1.044	1.083	0.997
861.25	11	99	0.995	0.929	0.962	0.895
861.5	11.01	75	0.938	0.827	0.863	0.758
861.75	11.01	64.5	0.908	0.865	0.891	0.815
862	11.12	55.3	0.885	0.924	0.94	0.941
862.25	11.37	66.6	0.852	0.836	0.865	0.82
862.5	11.38	71.4	0.819	0.769	0.791	0.721
862.75	11.4	57.5	0.811	0.766	0.792	0.733
863	11.43	50.3	0.816	0.776	0.803	0.737
863.25	11.42	50.7	0.824	0.811	0.834	0.785
863.5	11.39	53.4	0.828	0.831	0.855	0.807
863.75	11.72	53.7	0.83	0.838	0.866	0.806
864	10.92	59.3	0.823	0.851	0.872	0.844
864.25	10.87	62.7	0.795	0.813	0.832	0.815
864.5	10.83	54.7	0.752	0.701	0.737	0.679
864.75	11.22	50.5	0.74	0.661	0.692	0.617
865	11.31	42.6	0.767	0.721	0.734	0.698
865.25	11.87	43.3	0.819	0.789	0.796	0.772
865.5	12.44	37.3	0.888	0.844	0.873	0.785
865.75	12.87	52.1	0.978	0.967	0.999	0.922
866	13.76	59.8	1.115	1.131	1.163	1.093
866.25	13.91	76.7	1.195	1.169	1.232	1.099
866.5	13.85	84.8	1.225	1.208	1.259	1.156
866.75	13.49	94.9	1.231	1.183	1.239	1.145
867	13.6	94.6	1.219	1.118	1.198	1.034
867.25	13.72	95.4	0.985	0.893	0.934	0.836
867.5	14.47	98.3	0.903	0.858	0.876	0.83
867.75	13.88	100	4                   0.913	0.906	0.924	0.899
868	12.58	102	0                   0.916	0.903	0.926	0.893
868.25	11.82	65.8	0.918	0.879	0.904	0.846
868.5	11.29	76.7	0.925	0.866	0.897	0.814
868.75	14.94	79.6	0.928	0.866	0.898	0.795
869	25.35	84.3	0.93	0.893	0.929	0.833
869.25	17.22	91.8	0.942	0.991	0.976	0.953
869.5	16.47	94.2	0.95	1.026	1.042	1.067
869.75	15.94	98.1	0.945	1.021	1.044	1.052
870	15.44	97	0.941	1.017	1.047	1.039
870.25	17.29	88.6	0.939	1.015	1.047	1.049
870.5	19.76	76	0.938	1.014	1.046	1.056
870.75	26.4	67.5	0.93	1.003	1.047	1.052
871	33.46	66.8	0.924	0.995	1.048	1.049
871.25	39.67	66.6	0.92	0.99	1.048	1.047
871.5	47.84	66.7	0.9	0.933	0.999	1.01
871.75	64.48	66.7	0.886	0.878	0.944	0.917
872	115.1	7                  60.6	0.869	0.812	0.879	0.806
872.25	174.6	8                  51.5	0.853	0.777	0.84	0.749
872.5	201.8	7                  53.8	0.846	0.767	0.822	0.734
872.75	225.7	1                  55.8	0.836	0.752	0.794	0.711
873	228.1	8                  54.4	0.828	0.74	0.773	0.694
873.25	239.9	8                  57.9	0.826	0.736	0.769	0.688
873.5	139.9	3                  64.5	0.824	0.732	0.764	0.681
873.75	206.2	2                  62.9	0.825	0.732	0.769	0.685
874	183.3	4                  60.7	0.826	0.732	0.777	0.692
874.25	155.8	4                  57.9	0.828	0.732	0.783	0.697
874.5	179.4	1                  59.1	0.821	0.726	0.772	0.684
874.75	204.7	2                  61.1	0.815	0.72	0.761	0.673
875	226.7	5                  62.0	0.811	0.716	0.754	0.665
875.25	220.1	1                  63.9	0.809	0.72	0.755	0.669
875.5	214.7	9                  65.7	0.808	0.722	0.756	0.672
875.75	233.5	4                  66.6	0.806	0.725	0.757	0.674
876	244.6	2                  67.7	0.809	0.73	0.76	0.677
876.25	264.4	2                  68.6	0.811	0.735	0.762	0.679
876.5	231.9	6                  68.4	0.813	0.74	0.764	0.681
876.75	240.4	8                  68.2	0.815	0.743	0.766	0.682
877	249.8	6                  68.0	0.845	0.831	0.846	0.804
877.25	265.9	7                  67.6	0.871	0.878	0.888	0.882
877.5	272.9	8                  73.9	0.877	0.865	0.889	0.87
877.75	294.9	9                  91.8	0.879	0.859	0.889	0.864
878	315.9	3                  104.	3                   0.882	0.854	0.882	0.821
878.25	331.2	5                  108.	9                   0.884	0.85	0.877	0.789
878.5	429.2	9                  107.	2                   0.892	0.842	0.871	0.777
878.75	229.5	8                  105.	1                   0.902	0.847	0.864	0.767
879	135.3	0                  103.	0                   0.894	0.905	0.875	0.804
879.25	195.8	7                  109.	0                   0.745	0.73	0.619	0.6
879.5	215.3	6                  108.	4                   0.697	0.682	0.547	0.54
879.75	234.9	5                  59.9	0.716	0.716	0.589	0.595
880	233.5	4                  29.5	0.758	0.767	0.639	0.668
880.25	236.8	9                  41.2	0.799	0.8	0.691	0.691
880.5	135.1	4                  34.7	0.842	0.845	0.758	0.759
880.75	86.93	45.5	0.901	0.944	0.919	0.925
881	71.39	36.9	0.896	0.933	0.932	0.907
881.25	49.92	25.9	0.735	0.707	0.724	0.682
881.5	39.01	22.8	0.669	0.63	0.647	0.6
881.75	31.73	24.3	0.668	0.632	0.649	0.6
882	28.17	40.6	0.67	0.637	0.652	0.599
882.25	28.14	48.3	0.687	0.67	0.675	0.634
882.5	28.11	53.8	0.701	0.704	0.713	0.692
882.75	24.1	48.4	0.708	0.727	0.734	0.737
883	19.11	43.2	0.707	0.71	0.713	0.684
883.25	19.98	40.2	0.694	0.678	0.694	0.647
883.5	20.71	42.6	0.678	0.681	0.676	0.632
883.75	22.44	43	0.659	0.658	0.645	0.627
884	24.63	45.5	0.662	0.642	0.627	0.53
884.25	26.08	53.8	0.652	0.682	0.642	0.612
884.5	30.18	56.8	0.658	0.488	0.602	0.521
884.75	34.52	47.1	0.664	0.664	0.623	0.544
885	34.52	59.3	0.676	0.659	0.61	0.555
