********************************************************************************

Well:		BILABRI D4
Path:		Original Path
Hole:		
Start:		1200.00(m)
End:			1429.00(m)
Date/Time:	Monday, December 18, 2006 /02:35:00
********************************************************************************


DEPTH                   TVD                     ROP_AVG                 GR1AX                   RACLX                   RPCHX                   TCDX                    
m                       m                       m/hr                    API                     ohm.m                   ohm.m                   degF                    

1200.00                 1199.98                 0.00                    54.1                    -999.25                 -999.25                 -999.25                 
1200.25                 1200.28                 226.95                  50.4                    -999.25                 -999.25                 -999.25                 
1200.50                 1200.59                 355.21                  45.3                    0.680                   0.728                   -999.25                 
1200.75                 1200.73                 417.18                  40.2                    0.655                   0.700                   129.0                   
1201.00                 1200.89                 487.49                  47.7                    0.622                   0.642                   129.1                   
1201.25                 1201.20                 578.07                  61.7                    0.565                   0.529                   129.2                   
1201.50                 1201.50                 357.75                  48.2                    0.561                   0.521                   129.3                   
1201.75                 1201.81                 294.75                  28.7                    0.568                   0.528                   129.3                   
1202.00                 1201.98                 290.32                  30.5                    0.576                   0.535                   129.4                   
1202.25                 1202.11                 286.97                  33.6                    0.583                   0.542                   129.5                   
1202.50                 1202.41                 234.98                  36.6                    0.590                   0.550                   129.6                   
1202.75                 1202.72                 213.36                  39.7                    0.597                   0.557                   129.7                   
1203.00                 1203.02                 76.56                   42.7                    0.605                   0.564                   129.8                   
1203.25                 1203.33                 124.39                  45.8                    0.612                   0.571                   129.9                   
1203.50                 1203.48                 93.86                   47.7                    0.619                   0.578                   130.0                   
1203.75                 1203.73                 42.85                   45.8                    0.626                   0.586                   130.0                   
1204.00                 1203.94                 0.00                    44.5                    0.634                   0.593                   130.1                   
1204.25                 1204.24                 1.85                    43.1                    0.644                   0.603                   130.2                   
1204.50                 1204.55                 6.39                    41.8                    0.626                   0.587                   130.3                   
1204.75                 1204.85                 10.97                   40.4                    0.594                   0.556                   130.4                   
1205.00                 1204.98                 13.08                   39.1                    0.564                   0.400                   130.5                   
1205.25                 1205.16                 16.08                   37.1                    0.564                   0.278                   130.6                   
1205.50                 1205.46                 14.09                   48.2                    0.564                   0.282                   130.7                   
1205.75                 1205.77                 13.67                   46.9                    0.564                   0.287                   130.8                   
1206.00                 1206.07                 14.58                   46.1                    0.564                   0.292                   130.8                   
1206.25                 1206.23                 13.72                   45.2                    0.564                   0.297                   130.9                   
1206.50                 1206.38                 12.91                   44.4                    0.565                   0.302                   131.0                   
1206.75                 1206.68                 13.00                   43.5                    0.565                   0.306                   131.1                   
1207.00                 1206.99                 12.56                   42.6                    0.565                   0.311                   131.2                   
1207.25                 1207.29                 14.49                   41.8                    0.565                   0.316                   131.3                   
1207.50                 1207.60                 12.77                   40.9                    0.565                   0.321                   131.4                   
1207.75                 1207.73                 10.61                   40.0                    0.565                   0.326                   131.5                   
1208.00                 1207.90                 7.79                    39.2                    0.565                   0.330                   131.5                   
1208.25                 1208.21                 13.62                   38.3                    0.565                   0.335                   131.6                   
1208.50                 1208.51                 16.43                   37.4                    0.565                   0.340                   131.7                   
1208.75                 1208.82                 21.41                   36.6                    0.565                   0.353                   131.5                   
1209.00                 1208.98                 16.74                   35.7                    0.565                   0.370                   131.3                   
1209.25                 1209.12                 12.69                   35.2                    0.554                   0.350                   131.0                   
1209.50                 1209.43                 10.54                   29.4                    0.552                   0.387                   130.8                   
1209.75                 1209.73                 50.83                   28.5                    0.550                   0.414                   130.5                   
1210.00                 1210.03                 91.44                   28.1                    0.548                   0.440                   130.3                   
1210.25                 1210.34                 117.78                  27.5                    0.546                   0.463                   130.0                   
1210.50                 1210.48                 122.20                  26.9                    0.543                   0.479                   129.8                   
1210.75                 1210.64                 127.46                  26.0                    0.540                   0.489                   129.5                   
1211.00                 1210.95                 145.67                  28.8                    0.546                   0.453                   129.3                   
1211.25                 1211.25                 145.53                  33.7                    0.550                   0.468                   129.0                   
1211.50                 1211.56                 141.40                  34.2                    0.549                   0.474                   128.8                   
1211.75                 1211.73                 139.51                  24.6                    0.549                   0.468                   128.5                   
1212.00                 1211.86                 138.02                  29.4                    0.553                   0.434                   128.3                   
1212.25                 1212.17                 127.84                  26.5                    0.563                   0.417                   128.0                   
1212.50                 1212.47                 125.07                  28.0                    0.577                   0.391                   127.8                   
1212.75                 1212.78                 111.00                  31.3                    0.585                   0.377                   127.5                   
1213.00                 1213.08                 91.18                   38.2                    0.610                   0.396                   127.3                   
1213.25                 1213.23                 89.78                   49.2                    0.651                   0.477                   127.0                   
1213.50                 1213.48                 87.36                   57.3                    0.674                   0.522                   126.8                   
1213.75                 1213.73                 84.95                   58.5                    0.722                   0.558                   126.5                   
1214.00                 1213.98                 82.54                   60.2                    0.821                   0.610                   126.3                   
1214.25                 1214.23                 80.13                   77.6                    0.852                   0.679                   126.0                   
1214.50                 1214.48                 77.71                   77.1                    0.888                   0.758                   125.8                   
1214.75                 1214.73                 75.30                   76.6                    0.941                   0.821                   125.5                   
1215.00                 1214.98                 72.89                   97.8                    0.975                   0.861                   125.3                   
1215.25                 1215.23                 70.47                   96.5                    1.018                   0.871                   125.0                   
1215.50                 1215.48                 68.06                   94.4                    1.099                   0.881                   124.8                   
1215.75                 1215.73                 65.65                   97.8                    1.144                   0.871                   124.5                   
1216.00                 1215.98                 63.24                   93.7                    1.222                   1.083                   124.3                   
1216.25                 1216.23                 60.82                   89.6                    1.293                   1.276                   124.0                   
1216.50                 1216.48                 58.41                   81.9                    1.398                   1.336                   123.8                   
1216.75                 1216.73                 56.00                   90.6                    1.533                   1.563                   123.6                   
1217.00                 1216.98                 53.59                   84.3                    1.559                   1.595                   124.1                   
1217.25                 1217.23                 51.17                   83.6                    1.605                   1.651                   124.6                   
1217.50                 1217.48                 48.76                   82.9                    1.546                   1.562                   125.0                   
1217.75                 1217.73                 46.35                   84.5                    1.492                   1.480                   125.5                   
1218.00                 1217.98                 43.94                   85.8                    1.458                   1.429                   125.9                   
1218.25                 1218.23                 41.52                   59.4                    1.367                   1.563                   126.3                   
1218.50                 1218.48                 39.11                   30.9                    1.189                   1.401                   126.4                   
1218.75                 1218.73                 36.70                   31.0                    1.002                   1.229                   126.4                   
1219.00                 1218.98                 34.29                   31.3                    0.888                   1.125                   126.5                   
1219.25                 1219.23                 31.87                   26.0                    0.750                   0.610                   126.6                   
1219.50                 1219.48                 29.46                   27.0                    0.741                   0.680                   126.7                   
1219.75                 1219.73                 27.05                   28.2                    0.717                   0.841                   126.7                   
1220.00                 1219.98                 24.64                   29.4                    0.706                   0.793                   126.8                   
1220.25                 1220.23                 22.22                   37.6                    0.690                   0.733                   126.9                   
1220.50                 1220.48                 19.81                   39.0                    0.675                   0.684                   127.0                   
1220.75                 1220.73                 17.40                   40.9                    0.667                   0.660                   127.0                   
1221.00                 1220.98                 14.99                   42.9                    0.662                   0.639                   127.1                   
1221.25                 1221.23                 12.57                   46.3                    0.658                   0.624                   127.2                   
1221.50                 1221.48                 10.16                   46.5                    0.663                   0.540                   127.3                   
1221.75                 1221.73                 7.75                    46.8                    0.661                   0.543                   127.3                   
1222.00                 1221.98                 5.33                    52.3                    0.657                   0.549                   127.4                   
1222.25                 1222.23                 2.92                    60.7                    0.651                   0.558                   127.5                   
1222.50                 1222.53                 0.00                    67.9                    0.660                   0.473                   127.5                   
1222.75                 1222.84                 19.28                   71.2                    0.677                   0.531                   127.6                   
1223.00                 1222.98                 63.00                   72.8                    0.698                   0.600                   127.7                   
1223.25                 1223.14                 112.86                  63.3                    0.719                   0.668                   127.8                   
1223.50                 1223.45                 282.19                  58.8                    0.736                   0.631                   127.8                   
1223.75                 1223.75                 405.68                  69.4                    0.736                   0.687                   127.9                   
1224.00                 1224.06                 491.17                  70.9                    0.737                   0.766                   128.0                   
1224.25                 1224.23                 632.87                  72.8                    0.722                   0.646                   128.1                   
