!Well:					BILABRI D4
!Path:					Original Path
!Reference North is:			TRUE
!Magnetic Declination is:		-3.45
!True to Grid Convergence:		0.00
!Tie In Point data:		
!MD  0.00  INC  0.00  Azicorr  0.00  TVD  0.00  N/S  0.00  E/W  0.00  
!
!Measured Depth   Inclination      Azimuth          Planar VS        Dogleg           Position North   Vertical Depth   Position East    
!--------------------------------------------------------------------------------------------------------------------------------------------------------
372.00            0.15             242.93           0.45             0.01             -0.22            372.00           -0.43            
514.00            0.20             71.74            0.41             0.07             -0.23            514.00           -0.36            
656.00            0.42             17.29            -0.28            0.07             0.35             656.00           0.03             
780.00            0.09             190.40           -0.61            0.12             0.68             780.00           0.14             
823.00            0.18             37.41            -0.64            0.18             0.70             823.00           0.18             
965.00            0.98             225.60           0.34             0.24             0.03             964.99           -0.55            
1115.00           0.33             192.95           2.00             0.14             -1.29            1114.98          -1.57            
1203.00           0.39             255.91           2.48             0.13             -1.61            1202.98          -1.92            
1231.00           0.38             234.95           2.65             0.15             -1.69            1230.98          -2.09            
1261.00           0.86             259.22           2.92             0.54             -1.78            1260.98          -2.39            
1289.00           1.41             264.35           3.34             0.59             -1.86            1288.97          -2.94            
1318.00           1.83             256.05           3.99             0.50             -2.00            1317.96          -3.74            
1346.00           3.71             223.69           5.26             2.54             -2.77            1345.93          -4.80            
1375.00           7.33             225.25           8.05             3.75             -4.75            1374.79          -6.76            
1404.00           10.02            223.70           12.41            2.80             -7.87            1403.45          -9.82            
1432.00           13.01            223.40           18.00            3.21             -11.93           1430.89          -13.67           
1460.00           16.17            222.18           25.05            3.39             -17.11           1457.98          -18.46           
1489.00           18.87            222.11           33.78            2.80             -23.58           1485.63          -24.31           
1517.00           21.81            220.55           43.51            3.20             -30.89           1511.89          -30.73           
1545.00           24.51            222.23           54.52            2.98             -39.14           1537.63          -38.02           
1574.00           27.04            221.57           67.13            2.64             -48.53           1563.74          -46.44           
1602.00           29.70            220.48           80.43            2.90             -58.57           1588.37          -55.16           
1631.00           32.37            219.68           95.37            2.80             -70.01           1613.22          -64.79           
1659.00           35.18            219.56           110.93           3.01             -82.00           1636.49          -74.71           
1688.00           37.26            219.48           128.05           2.15             -95.22           1659.89          -85.61           
1717.00           37.28            219.67           145.60           0.12             -108.76          1682.96          -96.80           
1745.00           37.51            219.89           162.59           0.28             -121.83          1705.21          -107.68          
1774.00           37.56            221.21           180.26           0.83             -135.25          1728.21          -119.17          
1802.00           37.52            222.16           197.32           0.62             -147.99          1750.41          -130.51          
1831.00           37.53            223.05           214.98           0.56             -160.99          1773.41          -142.47          
1859.00           37.52            222.09           232.03           0.62             -173.55          1795.61          -154.01          
1888.00           37.53            221.87           249.70           0.14             -186.68          1818.61          -165.82          
1916.00           37.54            221.64           266.76           0.15             -199.41          1840.82          -177.19          
1945.00           37.54            221.97           284.43           0.21             -212.58          1863.81          -188.97          
1974.00           37.47            222.11           302.08           0.11             -225.69          1886.81          -200.79          
2002.00           37.47            221.40           319.12           0.47             -238.40          1909.04          -212.14          
2031.00           37.51            221.09           336.77           0.19             -251.67          1932.05          -223.77          
2059.00           36.93            220.99           353.70           0.63             -264.45          1954.34          -234.89          
2088.00           34.39            221.44           370.61           2.64             -277.17          1977.90          -246.03          
2116.00           31.08            220.77           385.74           3.57             -288.57          2001.46          -255.98          
2144.00           28.10            220.75           399.57           3.19             -299.04          2025.80          -265.01          
2173.00           25.37            220.92           412.61           2.82             -308.91          2051.70          -273.54          
2201.00           22.89            221.35           424.06           2.66             -317.53          2077.25          -281.07          
2230.00           20.32            222.34           434.73           2.69             -325.49          2104.21          -288.18          
2258.00           17.07            222.00           443.71           3.48             -332.14          2130.73          -294.21          
2287.00           14.72            221.82           451.65           2.44             -338.05          2158.62          -299.52          
2315.00           11.44            222.33           457.98           3.52             -342.76          2185.89          -303.76          
2344.00           9.24             224.02           463.19           2.29             -346.56          2214.41          -307.31          
2372.00           6.27             227.49           466.96           3.22             -349.21          2242.16          -310.00          
