depth,torque,wob,spp,gpm,mse_psi,rop
645,5,9.9,663,529,8841.83671205514,28.77
646,5,9.9,669,529,10604.175094019703,23.97
647,5,9.63,622,530,10846.502349588916,23.43
648,5,11.38,583,529,11137.784980793258,22.83
649,5,10.0,575,530,12809.880049054547,19.83
650,5,10.1,566,529,12638.781257575129,20.1
651,5,9.06,574,530,11588.55605254265,21.92
652,4,8.13,584,529,9929.080955193078,20.47
653,5,7.74,581,530,11841.670121669058,21.44
654,5,7.78,587,530,11191.247454681668,22.69
655,5,12.57,595,529,10699.673182115364,23.78
656,5,9.36,602,529,11277.062861124066,22.53
657,5,10.69,602,529,11750.199092408506,21.63
658,5,10.83,608,529,11595.914857421609,21.92
659,5,11.07,601,530,10342.708777965889,24.59
660,6,11.7,631,529,10186.600335905205,29.97
661,6,12.99,632,530,11278.039499669225,27.07
662,4,11.66,648,529,10538.191230995282,19.31
663,3,1.35,682,530,12872.08442294168,12.03
664,3,28.9,789,256,12295.2420008172,12.36
665,3,37.72,780,140,6569.539623073391,23.69
666,4,38.79,756,140,8501.255700161695,23.6
667,2,42.6,789,140,4306.6176622099565,23.6
669,2,27.57,789,182,1776.415596634256,62.67
670,4,3.42,833,609,13823.267523536106,14.53
671,3,4.33,843,629,16840.905826340706,8.86
672,3,4.31,784,609,14128.397998659517,10.36
673,5,9.27,713,574,15837.643160136187,15.27
674,5,11.07,670,551,20962.281665088176,11.42
675,5,12.0,654,551,19076.09702307457,12.68
677,1,23.83,780,255,954.1431308511236,55.87
678,5,9.93,660,551,16397.37244662656,14.75
679,6,10.96,712,572,12678.285600125626,22.69
685,6,13.05,832,604,15366.02904566264,18.72
686,3,1.25,873,616,9118.947736834083,16.04
687,4,3.65,911,624,11060.27373798508,17.82
688,4,6.46,912,624,10374.74199915447,19.39
689,4,3.62,905,624,14030.182084664402,14.18
690,5,9.06,876,610,15733.978259999478,15.37
691,4,7.23,911,624,9538.448249966714,20.7
692,4,5.77,880,622,10640.15179799094,18.54
693,3,4.44,867,621,8595.899553934556,17.21
694,4,4.77,824,598,15348.776888264125,12.84
695,3,3.48,833,598,11861.799256683573,12.46
696,4,4.82,830,598,11941.520796502691,16.51
697,4,5.92,845,594,10801.97529641052,18.44
698,3,5.22,865,587,6843.254982981144,21.85
699,4,9.17,862,589,8360.615946184871,23.42
700,5,6.7,905,600,10251.98205811858,23.83
701,5,10.4,906,601,11188.752317475148,21.86
702,5,11.87,928,603,12207.081219499738,20.04
703,4,12.06,866,595,18688.743880894403,10.56
704,4,15.97,723,551,16427.464592002187,12.03
705,6,14.91,738,551,13704.971636455131,21.43
706,5,14.58,740,549,12413.525069445092,19.53
707,4,13.3,843,559,10561.655452859684,18.37
708,5,18.06,871,563,12535.36987879731,19.17
709,5,17.98,933,594,15666.375249191822,15.32
710,6,20.2,970,624,14711.3032327952,19.4
711,6,18.52,915,621,18746.078462697053,15.2
712,5,17.28,909,621,19491.65212143548,12.3
713,6,20.48,909,621,20368.922571950538,13.99
714,5,19.98,910,621,14621.330475515748,16.43
715,6,21.71,913,621,17531.564854418873,16.27
716,3,11.75,800,589,5300.7392413419075,24.56
717,4,13.37,722,580,8985.879133201237,22.04
718,5,15.61,787,619,9997.264885890174,24.53
719,5,15.73,973,681,11509.312214102609,21.29
720,5,13.53,1127,727,10717.977059996809,23.3
721,5,17.8,1194,746,11778.550698694744,21.02
722,5,17.88,1205,764,10892.825302456284,22.3
723,5,16.38,1167,741,12305.214096485151,19.91
724,5,17.44,1031,684,6759.910622547451,36.79
725,5,16.93,1309,787,14371.05673613271,16.87
726,5,18.17,884,614,14607.7084018962,16.93
727,5,15.78,689,541,10643.709754591844,23.71
728,6,16.6,702,540,13469.202622627048,22.46
729,5,16.15,712,540,10919.885096976972,23.11
730,6,14.85,710,540,12696.84487464857,23.82
731,5,17.49,711,540,10673.173512807518,23.66
732,6,15.96,815,570,12983.444911067078,23.3
733,6,22.49,887,595,13145.02982873544,23.06
734,6,19.32,943,612,13274.896612390075,22.81
735,6,17.22,940,611,14057.104473235406,21.52
736,6,20.47,865,606,13239.30974382054,22.88
737,6,16.03,781,575,14032.68763784676,21.55
738,5,15.42,863,598,12965.69579903796,19.44
739,5,17.06,886,601,12228.312071579594,20.63
740,5,16.77,947,603,11464.853276265758,22.01
741,5,16.7,964,604,10399.20191234696,24.28
742,6,13.94,953,603,13908.311005770987,21.73
743,5,18.05,902,601,12285.6979565741,20.54
744,6,19.6,895,601,14054.013744068508,21.54
745,6,18.85,848,584,14624.923999410568,20.69
746,7,21.62,751,562,17895.645594265097,19.72
747,5,17.17,771,555,12636.857967499996,19.96
748,5,18.51,786,557,11688.38383732588,21.6
749,5,16.04,795,557,12397.40678301127,20.34
750,4,14.38,726,501,10133.107847653211,18.97
753,5,27.18,671,497,5076.276995737223,49.57
754,7,15.98,725,551,10880.406592001456,32.47
757,5,19.06,765,555,22797.253967131302,11.04
758,7,26.0,830,589,24799.235662608357,13.95
759,5,17.85,882,619,14849.283789254729,16.49
760,7,20.12,1292,733,146654.4603548462,2.35
761,7,23.89,1330,740,35531.16856403867,9.91
762,6,24.57,1248,712,25641.552521994683,11.56
763,5,12.44,875,598,6884.126830416119,35.31
764,4,20.74,884,598,5116.196298292894,39.89
765,3,10.46,933,598,6968.665236799373,21.73
766,5,3.6,886,598,6527.739045113478,38.51
767,4,3.9,882,598,19661.076551971477,9.63
768,4,5.4,968,601,11514.173345659605,17.46
769,5,6.3,1037,601,13226.55283619294,19.0
770,5,7.0,1060,601,13830.114421430955,18.0
771,5,6.5,1133,601,13910.974435846736,16.0
772,5,8.0,1144,601,16924.333647009928,14.0
773,5,7.5,1161,601,19140.2746426658,13.0
774,6,6.0,1178,601,19898.402097987044,15.0
775,5,7.0,1347,603,14782.446683873492,17.0
776,5,8.0,1442,604,15857.977996002108,16.0
777,5,8.1,1468,604,15779.66380808344,16.08
778,6,7.5,1376,604,20286.820238629396,15.0
779,3,6.0,853,426,9529.20464677236,9.5
780,5,17.48,1470,637,37919.53225535915,6.69
781,4,19.1,1727,709,21930.15168140178,9.27
782,4,15.23,1829,770,14003.882548524678,14.53
783,5,18.55,1719,768,41996.90435126664,6.04
784,4,14.8,1932,801,20625.63161737205,9.85
785,4,16.41,1961,811,12610.416097848472,16.15
786,5,17.4,1983,811,17414.497353677103,14.6
787,5,20.83,1994,811,20243.07760924098,12.68
788,6,20.89,2061,810,44860.711391911296,6.85
789,5,21.96,2152,811,25826.610346906986,9.56
790,6,21.87,2166,811,23938.325136492225,12.26
791,5,18.25,2177,811,25456.62169732952,10.07
792,6,19.45,2181,810,34387.457318572946,8.94
793,5,19.84,2175,811,16722.07643918221,15.36
794,5,22.19,2199,811,23097.126805754622,11.11
795,5,18.68,2206,811,70802.65844195159,3.58
796,6,23.06,2231,810,24379.39941134205,12.63
797,6,22.76,2059,812,31395.667643374378,9.89
798,5,24.76,2063,811,23033.852037239853,11.25
799,5,21.0,2118,811,17854.0268002131,14.52
800,7,14.1,1914,730,15195.198598442024,21.43
801,7,10.12,1895,746,6267.9293152487235,58.01
802,5,4.07,1568,659,1825.4887218657975,143.96
803,6,4.72,1631,673,5338.649440333109,58.2
804,5,6.36,1652,676,12109.475020092852,21.35
805,5,5.09,1662,676,22145.755165023485,11.66
806,4,15.3,1658,677,20080.89490385755,10.31
807,3,4.33,1679,679,15574.14832498682,9.95
808,4,5.27,1688,679,12006.707284312888,17.22
809,4,5.72,1697,679,12235.509237590442,16.9
810,3,26.57,1177,475,9281.851710005592,11.72
811,2,15.0,1392,548,5752.743711941306,14.44
812,2,12.0,1226,479,5723.611481090602,12.63
813,2,13.2,1360,548,1179.8669151051356,73.04
814,5,8.96,1828,713,4428.571906995785,59.29
815,5,10.05,1779,720,13918.74695491586,18.59
816,5,8.35,1788,720,12527.34282487986,20.65
817,5,9.47,1784,720,12358.987687335102,20.94
818,5,8.52,1793,720,12582.735229223485,20.56
819,5,10.1,1825,720,12474.413045402283,20.75
820,5,8.72,1807,720,14336.2956254603,18.04
821,5,7.53,1813,720,14363.126051657207,18.0
822,5,9.01,1836,720,11898.275737064014,21.75
823,5,8.72,1840,720,11778.29993280842,21.97
824,6,12.39,1837,720,14065.42340011797,22.09
825,5,10.01,1858,720,11401.051314289583,22.71
826,5,10.05,1865,720,14867.80368211209,17.4
827,5,8.44,1870,720,14503.556020814143,17.83
828,5,10.71,1919,720,12981.977311300068,19.94
829,5,8.68,1923,720,12221.857633478792,21.17
830,5,9.77,1902,720,12594.037873833153,20.55
831,5,11.34,1893,720,12521.651033101529,20.68
832,5,9.17,1893,720,13179.88495408653,19.63
833,5,10.22,1880,720,12819.743863720578,20.19
834,5,9.76,1901,720,12324.994464366318,21.0
835,5,10.4,1934,720,13409.702377208194,19.3
836,6,16.41,1917,720,13481.019952107534,23.08
837,6,14.81,1902,720,15985.817213387532,19.44
838,5,13.3,1872,720,10986.344088573976,23.6
839,6,13.28,1857,720,12618.820221505028,24.64
840,4,2.65,1762,720,8925.84278791755,23.15
841,4,8.99,1586,720,9954.637358519198,20.81
842,4,10.08,1565,720,9813.603190302476,21.12
843,4,11.71,1575,720,9332.454530476238,22.23
844,4,10.46,1610,720,8656.935342493049,23.96
845,4,10.41,1660,720,9227.890666325076,22.47
